storeid,itemid,price
164,39,77.33,2020-08-28
398,21,37.04,2020-02-06
265,22,97.89,2020-04-05
893,39,93.72,2020-01-30
309,33,27.56,2020-03-21
649,3,74.62,2020-09-28
185,36,45.7,2020-09-09
418,21,90.1,2020-05-30
576,5,38.73,2020-11-24
105,49,93.49,2020-10-31
856,9,55.77,2020-02-28
637,41,93.67,2020-10-30
616,36,71.85,2020-01-14
611,6,64.56,2020-05-10
952,2,69.25,2020-11-27
421,44,8.8,2020-09-13
695,33,10.56,2020-10-28
432,38,45.49,2020-02-25
970,27,43.91,2020-07-15
556,3,72.49,2020-02-05
357,3,81.7,2020-01-27
535,23,29.81,2020-10-24
150,17,39.97,2020-05-03
157,26,52.82,2020-03-19
645,18,16.57,2020-10-12
834,8,26.08,2020-05-01
941,1,96.41,2020-03-08
269,42,16.84,2020-01-28
848,41,92.52,2020-09-27
738,47,27.7,2020-04-11
753,28,80.38,2020-09-07
802,6,84.29,2020-10-15
168,50,98.01,2020-10-27
231,9,72.54,2020-07-13
790,2,31.3,2020-03-23
7,41,42.51,2020-02-05
174,21,36.82,2020-11-21
601,13,29.33,2020-11-23
557,16,74.63,2020-07-08
169,26,60.24,2020-05-22
86,45,19.12,2020-05-21
148,27,50.06,2020-12-25
241,22,49.32,2020-05-08
878,26,53.76,2020-12-09
321,2,13.39,2020-09-14
633,45,72.88,2020-06-07
345,12,46.17,2020-06-18
967,40,93.47,2020-02-20
460,47,38.11,2020-07-15
841,41,87.59,2020-01-15
85,39,98.25,2020-04-29
106,15,1.3,2020-11-16
239,50,86.78,2020-12-08
795,40,23.66,2020-03-18
342,9,40.91,2020-11-04
953,41,3.11,2020-08-24
351,19,34.98,2020-12-15
579,36,73.91,2020-01-02
377,13,54.86,2020-01-07
478,40,55.9,2020-07-28
278,46,95.42,2020-10-17
88,25,99.59,2020-05-27
144,1,42.07,2020-01-31
422,29,95.29,2020-03-28
225,11,3.0,2020-05-29
868,38,83.15,2020-10-03
398,44,29.19,2020-07-02
537,12,82.08,2020-05-04
664,45,22.76,2020-07-24
821,6,94.04,2020-10-17
957,9,31.17,2020-04-22
662,46,16.38,2020-07-02
854,6,43.34,2020-09-04
285,13,49.65,2020-11-10
635,36,51.62,2020-07-28
554,41,57.36,2020-07-11
162,26,27.71,2020-12-27
373,48,33.93,2020-06-09
48,4,92.89,2020-09-04
865,13,37.01,2020-10-08
995,25,31.4,2020-09-25
148,11,48.12,2020-06-24
14,11,81.25,2020-12-11
275,35,52.98,2020-06-24
241,15,94.37,2020-11-20
495,32,51.23,2020-04-15
125,47,99.3,2020-03-29
97,48,26.87,2020-09-15
768,29,8.82,2020-11-11
291,48,30.42,2020-12-09
386,38,3.23,2020-02-27
623,40,69.7,2020-10-23
275,34,41.35,2020-07-13
658,33,78.36,2020-08-19
708,17,51.05,2020-07-02
76,23,75.46,2020-07-02
805,34,81.37,2020-12-08
799,25,36.34,2020-11-16
708,48,21.33,2020-07-12
628,11,77.41,2020-01-16
182,49,87.02,2020-12-21
7,33,87.58,2020-12-05
554,18,23.19,2020-05-13
506,28,42.57,2020-07-05
891,3,41.56,2020-12-25
531,32,92.06,2020-05-06
742,19,82.01,2020-01-29
737,5,70.04,2020-09-13
783,30,39.76,2020-01-11
891,13,5.1,2020-12-15
300,39,38.22,2020-02-11
266,3,73.95,2020-04-10
47,1,18.17,2020-08-13
728,47,72.52,2020-02-12
361,31,33.6,2020-03-11
824,21,71.19,2020-01-20
361,30,10.05,2020-03-14
855,32,53.52,2020-08-20
148,33,57.48,2020-10-28
382,46,45.01,2020-07-16
587,11,45.25,2020-03-09
974,21,18.23,2020-02-13
301,9,24.24,2020-04-08
336,49,50.85,2020-12-15
460,17,98.07,2020-01-15
945,42,35.66,2020-08-11
36,46,79.36,2020-05-07
886,42,75.81,2020-05-23
327,46,28.94,2020-10-18
62,32,32.73,2020-02-05
441,45,47.11,2020-09-30
77,25,67.86,2020-01-15
894,19,41.58,2020-05-27
381,1,7.31,2020-02-13
129,13,3.36,2020-02-27
546,36,29.88,2020-01-01
183,43,63.67,2020-02-16
646,8,20.63,2020-12-20
518,41,63.99,2020-06-07
827,50,21.01,2020-03-08
17,12,15.36,2020-01-09
796,16,96.5,2020-06-20
180,47,82.64,2020-06-01
914,8,94.56,2020-05-06
164,22,48.59,2020-05-17
241,2,77.26,2020-03-20
689,45,20.72,2020-05-07
181,46,75.41,2020-11-07
160,36,37.28,2020-02-10
854,31,29.0,2020-12-09
518,42,94.24,2020-07-26
30,44,1.42,2020-12-21
736,36,96.53,2020-12-06
68,6,64.49,2020-07-28
899,46,26.71,2020-03-12
302,46,22.99,2020-04-19
636,43,60.45,2020-10-10
643,31,49.56,2020-01-19
778,36,52.55,2020-05-21
317,30,73.5,2020-07-04
266,6,3.2,2020-09-22
306,45,80.85,2020-04-28
321,23,69.08,2020-10-20
646,49,25.54,2020-08-28
773,17,96.73,2020-11-20
780,30,99.69,2020-07-29
328,35,59.96,2020-06-12
507,40,82.57,2020-04-08
652,3,7.86,2020-06-05
781,47,4.99,2020-07-27
844,42,99.47,2020-05-18
344,42,89.61,2020-03-16
937,30,61.91,2020-08-09
793,47,10.24,2020-06-27
125,19,21.02,2020-08-12
926,21,68.05,2020-04-22
445,39,14.48,2020-01-04
363,25,37.67,2020-05-10
678,44,97.42,2020-10-10
45,33,34.27,2020-12-04
475,27,51.54,2020-08-18
415,45,23.3,2020-07-11
558,8,80.67,2020-05-07
542,28,49.18,2020-10-06
844,13,27.54,2020-03-17
6,49,76.92,2020-03-20
240,43,72.76,2020-10-22
842,8,18.17,2020-04-27
896,17,9.59,2020-09-28
69,9,21.93,2020-05-09
990,3,66.63,2020-12-30
224,16,22.64,2020-08-09
377,30,41.73,2020-04-24
539,3,77.43,2020-08-08
420,24,43.18,2020-10-12
155,11,88.24,2020-07-16
500,50,31.91,2020-07-29
980,26,72.05,2020-01-13
273,10,9.24,2020-06-16
689,44,22.01,2020-01-26
355,13,30.27,2020-03-20
846,2,82.61,2020-02-01
236,44,2.56,2020-05-12
606,14,52.64,2020-12-29
648,43,96.63,2020-02-28
13,40,71.15,2020-03-18
38,48,89.5,2020-02-22
950,38,69.4,2020-10-14
222,10,73.8,2020-03-06
174,39,12.85,2020-08-04
974,46,1.85,2020-10-29
207,44,82.06,2020-12-25
794,22,52.96,2020-07-09
342,9,64.15,2020-09-05
563,32,15.03,2020-05-12
57,44,42.38,2020-07-26
912,48,16.94,2020-02-04
812,27,70.79,2020-02-23
684,49,92.13,2020-04-23
907,9,96.47,2020-09-25
59,37,23.64,2020-07-25
549,44,31.02,2020-12-18
695,7,83.85,2020-08-02
278,30,64.82,2020-04-21
467,38,23.02,2020-09-29
974,33,85.89,2020-11-23
945,26,81.5,2020-11-09
702,36,79.57,2020-08-21
201,18,44.16,2020-11-22
188,23,81.23,2020-08-16
615,32,3.8,2020-08-31
916,11,25.0,2020-02-21
906,31,76.37,2020-06-25
567,44,30.45,2020-07-07
587,44,66.1,2020-04-19
418,3,95.07,2020-10-12
78,8,70.41,2020-10-07
892,49,22.97,2020-01-18
774,29,96.26,2020-10-30
616,43,38.87,2020-05-15
764,30,84.33,2020-12-17
27,29,72.89,2020-07-27
507,37,12.54,2020-07-29
424,2,61.48,2020-04-26
209,10,43.86,2020-12-08
722,45,60.6,2020-07-18
878,46,95.42,2020-07-26
774,13,30.01,2020-03-08
673,19,6.76,2020-05-28
508,4,6.63,2020-08-27
662,4,89.61,2020-12-06
354,28,36.74,2020-09-10
957,24,55.83,2020-12-23
578,23,79.91,2020-10-09
758,1,0.27,2020-06-11
614,29,79.8,2020-12-19
516,11,74.87,2020-05-13
210,9,56.24,2020-12-08
449,28,8.21,2020-06-26
400,31,14.69,2020-03-26
791,3,57.52,2020-08-26
979,28,94.29,2020-11-30
308,46,41.07,2020-07-18
683,41,76.42,2020-01-09
171,21,79.7,2020-10-08
294,31,5.2,2020-01-21
486,14,45.68,2020-04-29
508,14,77.52,2020-09-21
292,15,60.2,2020-03-02
963,42,42.53,2020-10-16
801,37,11.56,2020-08-04
836,11,90.13,2020-07-03
339,39,74.56,2020-04-15
142,9,72.8,2020-12-26
810,47,75.88,2020-01-04
958,35,83.86,2020-06-15
132,2,11.53,2020-02-29
369,2,72.76,2020-11-06
388,36,71.97,2020-08-19
653,15,73.46,2020-11-23
416,23,78.51,2020-05-03
154,31,60.37,2020-11-23
434,9,55.08,2020-01-04
24,26,67.27,2020-05-15
267,20,90.9,2020-12-17
354,49,33.12,2020-12-24
124,35,15.3,2020-12-14
631,21,73.62,2020-04-13
47,15,74.31,2020-11-07
410,28,92.5,2020-04-02
714,13,83.78,2020-09-09
654,20,20.37,2020-01-27
785,21,90.42,2020-02-02
667,28,6.52,2020-10-07
518,29,37.74,2020-11-18
702,46,76.58,2020-09-07
702,35,52.47,2020-11-03
135,24,21.49,2020-05-18
335,46,51.87,2020-09-01
771,11,56.72,2020-12-14
476,3,5.84,2020-05-25
453,6,10.9,2020-05-11
401,20,18.08,2020-05-04
948,5,90.05,2020-08-17
788,6,9.49,2020-09-23
386,11,52.79,2020-05-15
183,28,86.3,2020-02-08
128,15,85.39,2020-08-11
981,21,18.03,2020-10-02
728,9,3.13,2020-01-08
512,48,63.73,2020-12-29
44,32,86.61,2020-06-13
927,10,21.06,2020-06-14
640,18,14.3,2020-10-02
292,14,81.73,2020-07-02
5,45,92.07,2020-04-07
28,50,40.06,2020-08-03
929,10,2.49,2020-03-30
884,24,22.63,2020-11-13
434,26,95.29,2020-07-02
184,42,42.37,2020-03-07
627,50,36.3,2020-11-24
517,50,8.44,2020-07-02
604,34,15.61,2020-12-15
274,3,59.73,2020-03-04
667,11,61.07,2020-09-13
678,49,98.42,2020-08-03
579,34,38.41,2020-02-27
651,31,14.52,2020-04-14
685,4,47.02,2020-01-14
27,14,78.74,2020-07-30
163,26,71.59,2020-08-20
829,48,43.26,2020-01-04
960,41,57.92,2020-06-03
509,46,96.19,2020-03-13
436,1,4.09,2020-05-07
393,42,37.24,2020-12-26
756,5,76.63,2020-09-08
663,36,34.15,2020-02-01
591,22,16.27,2020-05-05
361,21,10.75,2020-04-19
992,1,92.48,2020-01-09
347,48,56.25,2020-09-19
552,38,4.5,2020-09-05
274,17,1.16,2020-11-08
171,34,90.11,2020-07-11
76,32,8.25,2020-06-16
839,37,75.75,2020-10-02
818,39,66.23,2020-03-01
551,1,83.77,2020-01-23
175,40,37.61,2020-09-16
671,4,17.11,2020-05-05
768,13,57.94,2020-11-16
284,42,55.83,2020-10-22
269,13,23.28,2020-02-20
100,32,72.9,2020-10-15
890,14,92.8,2020-04-03
672,41,85.43,2020-02-21
560,16,82.6,2020-06-27
994,42,21.72,2020-08-31
748,38,22.95,2020-09-08
158,24,13.18,2020-11-16
137,40,78.42,2020-07-13
486,11,81.46,2020-02-09
229,44,83.34,2020-06-05
75,21,27.63,2020-06-10
716,14,21.81,2020-04-18
2,25,55.18,2020-02-08
645,44,52.32,2020-08-09
449,39,54.87,2020-08-18
538,14,53.16,2020-02-07
510,37,6.49,2020-12-12
856,8,73.13,2020-11-22
948,2,40.41,2020-02-27
967,13,37.03,2020-01-23
630,7,14.48,2020-03-21
273,15,91.66,2020-08-17
352,25,86.14,2020-05-28
903,6,51.14,2020-01-18
197,1,24.04,2020-01-25
320,39,96.26,2020-06-15
436,5,54.94,2020-11-18
790,25,18.35,2020-05-17
103,32,33.07,2020-06-25
358,10,25.72,2020-02-10
439,4,47.51,2020-10-02
907,40,18.83,2020-03-30
535,29,36.82,2020-02-28
370,19,21.41,2020-10-05
958,43,76.19,2020-08-06
886,50,6.05,2020-11-27
147,14,15.17,2020-04-19
770,25,34.01,2020-11-10
970,35,76.95,2020-09-01
327,30,37.35,2020-12-22
926,39,28.46,2020-08-21
185,23,89.72,2020-12-24
265,6,63.48,2020-10-22
652,29,80.25,2020-10-22
157,8,48.24,2020-03-21
843,32,86.87,2020-05-04
214,14,28.66,2020-05-26
97,11,22.84,2020-12-11
336,1,9.64,2020-11-15
888,34,46.15,2020-03-29
444,25,5.5,2020-01-20
860,9,0.31,2020-12-30
684,9,64.84,2020-08-18
176,7,53.24,2020-09-07
988,45,47.54,2020-09-01
636,3,9.2,2020-05-09
77,27,37.02,2020-12-20
394,15,63.96,2020-12-16
742,35,95.91,2020-01-13
419,50,55.43,2020-09-09
327,11,45.74,2020-08-09
549,24,25.61,2020-09-16
654,48,5.97,2020-11-06
508,23,54.09,2020-10-08
843,6,87.43,2020-03-25
173,9,49.62,2020-06-05
141,26,15.69,2020-11-12
427,9,32.59,2020-03-06
115,24,24.42,2020-06-21
687,8,84.53,2020-09-13
882,11,32.69,2020-01-15
463,15,23.49,2020-10-20
595,26,24.27,2020-06-11
695,43,97.18,2020-08-11
525,31,22.69,2020-05-02
623,25,59.22,2020-08-05
88,2,66.35,2020-07-05
599,24,96.06,2020-11-08
699,50,78.98,2020-09-18
744,48,69.62,2020-11-13
932,18,97.47,2020-12-18
533,5,82.78,2020-07-25
963,2,19.06,2020-11-22
228,33,12.98,2020-05-17
99,48,18.05,2020-03-05
679,44,44.3,2020-10-10
256,24,28.66,2020-12-30
706,25,84.17,2020-02-25
44,10,94.25,2020-02-04
767,1,6.87,2020-01-21
339,16,35.68,2020-11-23
488,24,66.78,2020-08-20
38,37,38.66,2020-04-15
107,22,85.92,2020-11-10
290,45,88.04,2020-01-21
701,31,31.75,2020-07-17
694,35,35.43,2020-09-12
158,50,36.23,2020-05-01
101,21,50.76,2020-05-15
860,45,80.66,2020-09-19
933,31,68.7,2020-02-05
192,26,78.3,2020-04-19
43,20,2.51,2020-09-27
572,49,95.31,2020-01-28
882,25,37.34,2020-11-16
474,15,60.19,2020-02-05
810,38,71.83,2020-01-12
511,50,69.57,2020-06-03
929,7,30.42,2020-06-11
724,17,99.86,2020-03-24
362,40,69.92,2020-09-02
661,30,33.09,2020-11-08
678,48,23.09,2020-04-09
38,37,59.78,2020-06-25
136,34,69.12,2020-05-21
193,17,66.13,2020-10-30
117,15,83.49,2020-07-13
189,22,85.48,2020-11-25
321,3,74.58,2020-05-09
728,14,3.69,2020-11-09
514,7,61.42,2020-01-26
786,31,46.75,2020-07-18
22,49,46.03,2020-06-19
663,21,70.81,2020-07-21
366,47,7.59,2020-01-02
420,7,21.79,2020-10-25
8,37,63.48,2020-01-22
727,45,55.73,2020-04-28
760,47,1.58,2020-12-18
302,5,97.19,2020-09-07
818,36,79.46,2020-10-03
783,14,68.41,2020-04-06
808,42,99.88,2020-05-16
72,18,56.28,2020-02-20
521,1,16.39,2020-04-20
646,2,16.13,2020-09-12
201,32,83.15,2020-05-19
564,7,6.51,2020-06-29
779,42,35.4,2020-05-22
982,25,86.01,2020-09-17
447,43,87.31,2020-01-07
148,35,89.37,2020-07-30
684,31,28.48,2020-09-29
812,18,39.29,2020-06-12
766,12,26.72,2020-04-20
243,48,32.91,2020-11-15
995,45,45.93,2020-06-17
541,39,52.88,2020-03-12
117,28,58.04,2020-12-25
449,47,36.9,2020-03-10
764,3,76.4,2020-07-10
749,50,29.59,2020-06-11
326,49,0.16,2020-01-08
271,3,77.61,2020-10-07
511,48,66.03,2020-08-03
379,28,93.35,2020-10-08
898,9,80.9,2020-09-02
6,10,61.27,2020-01-26
689,25,55.26,2020-08-23
900,25,65.54,2020-09-03
474,9,95.27,2020-05-20
67,5,43.81,2020-02-23
683,19,32.99,2020-03-13
771,6,70.69,2020-10-26
107,23,58.89,2020-10-11
885,47,20.3,2020-06-24
666,18,8.72,2020-04-16
371,15,79.56,2020-09-23
476,42,78.32,2020-07-08
800,31,85.67,2020-06-30
777,47,64.09,2020-11-09
785,11,98.99,2020-04-02
335,29,98.39,2020-02-04
617,31,75.02,2020-04-26
218,19,46.16,2020-02-13
420,21,1.97,2020-10-23
999,27,53.22,2020-03-20
654,31,69.74,2020-08-11
868,1,79.15,2020-05-30
982,15,35.14,2020-07-27
308,49,71.33,2020-04-01
955,45,10.08,2020-10-01
653,28,60.73,2020-04-22
946,39,82.81,2020-12-07
569,16,56.0,2020-01-12
979,39,23.61,2020-08-18
297,27,56.38,2020-10-14
851,46,66.91,2020-11-13
858,33,81.53,2020-04-25
488,26,71.14,2020-05-09
845,41,67.28,2020-01-30
950,15,16.97,2020-04-16
494,23,2.73,2020-04-04
958,3,58.04,2020-12-09
555,43,72.64,2020-09-18
895,9,25.93,2020-03-11
115,41,2.38,2020-07-02
468,43,66.34,2020-10-10
552,13,69.22,2020-11-29
612,36,77.58,2020-04-07
135,25,44.19,2020-05-03
695,48,81.98,2020-12-09
732,41,12.6,2020-03-22
790,22,57.12,2020-04-03
667,4,59.58,2020-03-19
713,19,2.17,2020-03-05
218,21,32.92,2020-12-20
130,39,41.35,2020-11-26
475,25,40.92,2020-05-11
646,1,5.72,2020-12-20
168,32,65.17,2020-12-28
868,8,9.91,2020-06-12
994,15,54.47,2020-05-01
268,5,25.78,2020-02-15
590,38,73.78,2020-03-10
181,18,19.84,2020-05-26
587,36,13.46,2020-01-11
959,47,6.86,2020-08-20
232,24,69.23,2020-01-02
553,4,96.44,2020-04-27
478,28,7.07,2020-11-04
824,10,19.38,2020-10-09
474,21,14.77,2020-08-25
3,7,26.51,2020-09-26
489,12,53.72,2020-09-13
447,21,10.81,2020-11-29
369,23,12.35,2020-02-04
840,31,75.43,2020-07-02
734,45,18.71,2020-08-25
21,36,79.55,2020-07-30
176,37,19.12,2020-11-10
929,17,39.53,2020-07-03
131,9,93.08,2020-10-16
544,35,52.83,2020-01-16
941,1,83.41,2020-12-15
440,25,79.39,2020-10-05
842,28,23.11,2020-01-06
644,29,59.0,2020-10-27
65,13,71.34,2020-12-30
26,4,39.97,2020-05-19
868,28,38.14,2020-05-12
52,21,76.2,2020-10-31
270,27,67.32,2020-09-10
923,36,76.87,2020-03-31
305,41,23.35,2020-05-22
134,21,98.67,2020-07-15
982,42,21.8,2020-08-22
448,43,57.29,2020-12-13
783,43,9.98,2020-06-14
824,24,87.44,2020-10-14
639,49,32.15,2020-12-29
388,32,25.44,2020-02-11
688,27,74.86,2020-12-01
530,39,75.15,2020-03-09
193,23,32.28,2020-11-21
5,25,90.05,2020-03-31
694,29,47.45,2020-07-02
465,18,80.12,2020-07-15
284,20,40.37,2020-08-03
690,32,23.54,2020-05-17
462,16,66.23,2020-01-31
166,12,71.95,2020-07-06
677,3,91.95,2020-04-03
371,3,38.38,2020-02-29
335,49,4.56,2020-07-19
245,24,28.25,2020-05-06
96,48,66.28,2020-03-12
958,10,20.89,2020-02-25
206,30,53.65,2020-02-11
505,37,1.48,2020-08-23
920,35,27.14,2020-01-25
123,26,13.78,2020-05-25
543,33,35.81,2020-01-05
369,40,36.49,2020-12-11
680,12,96.21,2020-12-17
791,33,63.57,2020-06-02
210,35,70.63,2020-04-06
917,3,80.09,2020-07-22
640,39,10.5,2020-04-27
621,23,18.51,2020-05-10
214,39,1.61,2020-03-24
383,34,84.41,2020-05-20
863,37,87.4,2020-12-01
783,47,56.96,2020-07-23
402,23,19.46,2020-03-23
576,46,14.64,2020-11-25
751,7,56.18,2020-05-27
109,19,57.09,2020-02-04
170,38,91.24,2020-05-22
22,1,9.61,2020-11-15
942,25,31.4,2020-07-03
873,4,77.52,2020-09-30
150,7,89.74,2020-08-04
263,11,41.04,2020-01-27
938,33,53.14,2020-07-30
732,50,78.65,2020-03-16
102,31,98.68,2020-01-26
292,27,8.95,2020-04-06
822,6,52.98,2020-04-15
516,11,39.9,2020-12-23
960,30,90.99,2020-02-13
496,30,95.97,2020-03-20
600,15,9.15,2020-01-24
24,6,21.65,2020-06-14
419,10,96.28,2020-09-22
904,17,61.63,2020-06-16
373,12,73.67,2020-01-07
612,15,66.27,2020-01-31
158,22,28.01,2020-11-23
255,29,75.16,2020-08-14
219,30,51.15,2020-01-26
939,27,97.96,2020-10-07
973,42,84.48,2020-01-05
720,26,50.28,2020-07-17
786,18,55.23,2020-08-21
787,21,31.41,2020-09-28
973,6,8.04,2020-05-11
852,8,13.22,2020-01-04
167,47,29.83,2020-05-31
485,34,97.36,2020-03-07
348,11,26.79,2020-12-25
22,18,2.36,2020-02-05
755,3,69.17,2020-04-12
975,16,88.76,2020-04-03
422,33,73.74,2020-11-11
824,6,45.32,2020-11-28
861,48,33.39,2020-10-06
370,48,19.87,2020-12-25
696,6,72.7,2020-08-10
608,23,15.63,2020-02-28
213,9,16.36,2020-05-23
12,14,84.95,2020-02-09
891,46,3.25,2020-08-08
38,8,66.42,2020-07-22
633,34,23.15,2020-04-24
712,15,56.68,2020-09-13
15,48,9.72,2020-12-07
972,49,86.31,2020-02-09
763,32,44.16,2020-09-19
347,14,35.41,2020-12-07
616,9,20.41,2020-06-01
833,37,55.93,2020-03-02
754,26,22.99,2020-09-11
108,17,74.74,2020-06-14
793,9,68.64,2020-05-19
185,24,37.49,2020-09-25
719,31,25.54,2020-09-18
212,15,26.23,2020-09-15
954,3,46.59,2020-07-11
562,24,29.81,2020-11-15
460,23,87.19,2020-08-01
437,18,85.21,2020-01-04
816,23,92.61,2020-06-27
30,22,14.0,2020-12-28
570,47,92.65,2020-07-21
8,44,71.19,2020-05-21
649,2,25.21,2020-03-06
683,31,47.41,2020-06-20
729,40,65.69,2020-08-14
965,45,70.03,2020-05-04
862,50,54.47,2020-08-17
692,31,50.75,2020-06-07
6,35,71.32,2020-02-09
641,17,97.71,2020-01-13
363,21,7.98,2020-03-01
401,39,37.95,2020-04-21
359,44,36.32,2020-01-04
96,41,17.12,2020-01-07
646,45,78.07,2020-10-03
48,2,65.96,2020-05-03
423,6,97.4,2020-09-12
906,44,61.87,2020-04-23
474,25,10.83,2020-04-12
842,4,55.33,2020-11-10
535,19,76.98,2020-12-29
986,30,96.88,2020-07-12
961,32,2.12,2020-11-19
867,30,74.61,2020-03-20
726,5,93.9,2020-03-21
366,23,42.24,2020-01-10
778,10,43.57,2020-11-24
29,13,55.55,2020-04-26
644,35,12.31,2020-06-07
245,1,93.99,2020-07-02
801,8,52.66,2020-01-28
574,1,20.88,2020-05-15
524,17,11.25,2020-08-05
396,34,94.79,2020-08-09
303,5,38.46,2020-04-13
274,49,82.49,2020-02-13
446,3,29.48,2020-10-23
725,38,77.52,2020-01-02
439,27,47.86,2020-07-16
867,22,74.81,2020-06-13
930,13,31.45,2020-03-11
936,49,86.09,2020-01-24
575,33,31.13,2020-03-17
562,5,77.01,2020-10-25
8,12,3.33,2020-01-20
948,43,6.69,2020-12-23
275,8,14.88,2020-02-28
294,35,15.37,2020-01-16
708,10,40.28,2020-05-02
221,48,47.35,2020-11-08
932,30,76.57,2020-01-12
134,18,96.2,2020-08-12
972,17,38.62,2020-07-02
849,46,83.19,2020-12-28
452,38,50.83,2020-06-06
257,5,81.6,2020-09-21
641,29,63.62,2020-06-12
237,43,43.35,2020-07-08
609,13,69.81,2020-10-01
149,23,94.78,2020-06-12
560,43,68.89,2020-04-13
942,35,10.55,2020-11-15
507,32,19.55,2020-01-12
19,49,20.7,2020-10-07
284,2,27.65,2020-09-10
503,35,96.91,2020-01-25
638,33,95.2,2020-10-10
214,4,64.83,2020-05-30
240,48,66.91,2020-04-13
914,23,90.65,2020-11-12
715,12,85.67,2020-10-01
787,27,21.56,2020-10-23
436,13,35.72,2020-02-28
661,6,30.47,2020-08-16
361,19,24.39,2020-07-04
908,8,13.74,2020-08-11
679,44,58.59,2020-08-16
134,30,83.42,2020-05-21
741,26,60.6,2020-09-11
214,16,23.74,2020-05-18
660,40,48.98,2020-01-14
139,1,62.94,2020-09-15
683,12,39.88,2020-03-22
926,10,61.43,2020-07-13
594,10,39.83,2020-10-21
890,42,94.15,2020-11-09
165,7,82.54,2020-10-16
160,13,42.39,2020-12-27
107,33,89.84,2020-01-31
343,9,27.79,2020-10-31
4,46,55.99,2020-12-12
196,34,93.2,2020-06-21
931,12,98.38,2020-06-19
267,30,93.64,2020-12-11
495,19,18.03,2020-06-25
169,23,83.57,2020-06-21
677,18,14.05,2020-12-19
455,26,71.32,2020-12-14
243,50,86.16,2020-08-31
415,21,30.37,2020-07-25
562,22,13.82,2020-10-06
548,18,25.5,2020-07-01
350,33,61.1,2020-11-28
279,48,28.89,2020-11-28
39,8,92.57,2020-12-22
591,37,38.82,2020-11-15
444,50,96.81,2020-05-17
817,44,87.0,2020-08-26
472,22,82.68,2020-07-16
208,8,66.09,2020-12-05
32,36,31.91,2020-03-25
805,26,28.56,2020-05-23
401,24,73.11,2020-07-29
806,26,66.27,2020-04-17
868,10,77.95,2020-10-27
952,11,53.38,2020-05-13
218,28,46.14,2020-08-12
70,34,60.95,2020-09-13
586,4,35.64,2020-01-19
646,2,86.3,2020-10-07
175,22,31.75,2020-04-25
14,14,67.17,2020-03-04
215,14,19.85,2020-12-23
171,44,60.86,2020-12-08
763,47,12.52,2020-05-25
36,45,11.63,2020-01-17
576,16,41.38,2020-07-15
167,35,25.38,2020-01-03
473,39,47.87,2020-10-26
301,47,47.72,2020-10-18
447,8,56.45,2020-10-04
774,42,41.0,2020-10-06
2,48,86.92,2020-07-03
23,28,20.15,2020-04-11
328,15,29.36,2020-06-29
352,10,93.16,2020-07-29
739,49,6.03,2020-06-02
170,2,40.53,2020-02-02
489,5,68.76,2020-08-31
399,1,4.86,2020-07-05
409,10,83.51,2020-11-28
450,21,82.74,2020-01-13
827,34,4.38,2020-09-24
391,7,74.53,2020-03-15
646,33,78.14,2020-09-13
820,25,71.63,2020-12-25
655,49,20.4,2020-07-01
458,49,46.08,2020-02-15
488,40,97.04,2020-02-24
428,14,99.18,2020-08-15
276,10,93.29,2020-01-12
62,17,53.58,2020-02-12
65,49,75.2,2020-07-30
96,36,49.92,2020-01-15
895,12,39.83,2020-08-24
209,4,21.27,2020-11-20
792,10,49.78,2020-04-16
205,11,56.57,2020-05-23
143,21,28.72,2020-06-26
937,39,71.52,2020-05-24
684,47,26.99,2020-10-28
854,38,67.16,2020-11-06
619,24,21.29,2020-10-21
778,2,15.3,2020-04-09
889,10,75.28,2020-11-09
912,40,35.68,2020-09-07
563,39,86.42,2020-05-17
49,27,91.94,2020-01-21
856,21,4.88,2020-07-26
751,31,16.5,2020-09-04
979,8,25.56,2020-12-17
166,41,39.03,2020-04-19
322,36,69.35,2020-10-25
642,29,39.5,2020-02-16
991,18,36.65,2020-05-02
326,31,78.08,2020-05-24
467,10,60.75,2020-04-15
184,22,96.75,2020-06-30
209,28,70.7,2020-08-19
135,20,20.62,2020-04-19
613,8,35.59,2020-07-13
760,41,43.98,2020-10-02
776,31,21.55,2020-05-25
928,41,58.23,2020-09-27
283,10,18.72,2020-03-31
58,39,89.89,2020-02-02
699,12,11.48,2020-12-14
992,27,56.55,2020-10-17
515,18,17.4,2020-07-15
950,6,80.29,2020-06-08
846,11,75.59,2020-06-14
444,6,80.45,2020-08-02
773,7,95.61,2020-08-20
97,35,66.57,2020-05-01
661,6,82.45,2020-04-02
822,9,63.79,2020-08-05
265,32,33.06,2020-03-07
983,11,80.29,2020-11-21
688,27,18.04,2020-07-05
916,45,92.42,2020-08-24
452,50,59.17,2020-03-08
414,35,92.46,2020-04-11
706,2,86.45,2020-09-15
619,37,94.48,2020-01-09
419,5,55.53,2020-08-14
271,14,59.09,2020-01-18
502,29,53.93,2020-10-29
59,6,32.3,2020-02-03
910,23,39.66,2020-08-19
797,47,93.37,2020-10-20
934,50,94.27,2020-05-09
331,10,24.44,2020-11-28
712,35,62.32,2020-08-08
938,39,48.9,2020-05-30
256,4,35.44,2020-11-09
307,10,45.35,2020-12-19
579,39,4.03,2020-03-19
940,24,58.13,2020-08-11
818,10,46.9,2020-02-01
706,39,81.27,2020-04-19
471,50,79.12,2020-06-02
527,10,1.74,2020-06-27
195,35,29.54,2020-01-13
